date,open,high,low,close,volume,symbol
2021-05-06,82.57,82.83,80.99,82.51,13716894.0,MU
2021-05-07,83.62,84.03,82.7,83.69,12746073.0,MU
2021-05-10,82.66,82.71,78.51,78.56,24862898.0,MU
2021-05-11,74.98,78.47,74.53,78.39,23227830.0,MU
2021-05-12,76.85,77.68,74.12,74.51,23472579.0,MU
2021-05-13,75.68,76.57,74.24,74.9,20153780.0,MU
2021-05-14,76.5,77.85,74.79,77.41,18241100.0,MU
2021-05-17,76.8,78.13,75.43,78.1,15011513.0,MU
2021-05-18,78.26,78.63,76.51,76.59,20893773.0,MU
2021-05-19,74.92,77.98,73.87,77.64,27299968.0,MU
2021-05-20,78.21,79.2,77.23,78.84,17123032.0,MU
2021-05-21,79.48,79.7,78.08,78.43,13076931.0,MU
2021-05-24,79.13,81.33,79.07,80.61,15730440.0,MU
2021-05-25,81.28,81.42,77.42,78.94,26272100.0,MU
2021-05-26,79.29,80.15,78.73,79.95,12609782.0,MU
2021-05-27,80.17,82.46,80.04,81.64,22286477.0,MU
2021-05-28,81.93,82.43,80.93,81.85,11330310.0,MU
2021-06-01,82.63,83.47,81.33,81.86,11067180.0,MU
2021-06-02,82.1,82.53,81.16,82.05,10314162.0,MU
2021-06-03,81.39,81.78,79.6,79.74,14742130.0,MU
2021-06-04,80.68,82.08,80.56,81.47,12591138.0,MU
2021-06-07,80.9,81.94,80.36,81.75,9006393.0,MU
2021-06-08,82.68,82.68,77.72,78.24,29666509.0,MU
2021-06-09,77.88,78.27,76.23,76.37,21434898.0,MU
2021-06-10,77.11,78.55,76.24,76.99,22683299.0,MU
2021-06-11,77.78,78.47,76.92,77.05,12675698.0,MU
2021-06-14,77.21,78.65,77.08,78.2,14302957.0,MU
2021-06-15,78.35,80.62,77.63,79.89,22308634.0,MU
2021-06-16,80.44,80.82,77.83,78.2,18116431.0,MU
2021-06-17,77.41,79.15,77.07,78.35,16003884.0,MU
2021-06-18,76.61,76.99,73.84,74.66,39881533.0,MU
2021-06-21,74.56,75.0,73.42,74.78,19810069.0,MU
2021-06-22,75.32,75.99,74.76,75.37,16771830.0,MU
2021-06-23,75.81,77.58,75.78,76.73,16662234.0,MU
2021-06-24,78.14,78.61,77.63,78.29,15720992.0,MU
2021-06-25,79.28,80.55,78.8,79.74,19603797.0,MU
2021-06-28,80.34,81.31,79.87,81.09,18365547.0,MU
2021-06-29,81.25,81.55,79.58,80.64,18530826.0,MU
2021-06-30,82.56,83.11,81.14,82.69,40670774.0,MU
2021-07-01,79.95,79.96,77.62,77.82,53298989.0,MU
2021-07-02,78.32,78.6,76.6,78.04,22711217.0,MU
2021-07-06,78.5,79.25,77.47,78.79,21126480.0,MU
2021-07-07,79.4,79.52,75.66,75.93,23026891.0,MU
2021-07-08,73.96,75.59,73.67,74.82,23114480.0,MU
2021-07-09,75.12,76.66,74.44,76.45,15441108.0,MU
2021-07-12,76.46,77.44,75.42,77.27,12639295.0,MU
2021-07-13,76.99,77.21,75.81,76.16,14263435.0,MU
2021-07-14,77.06,78.47,76.03,76.2,15952277.0,MU
2021-07-15,76.05,76.17,74.05,74.63,16616848.0,MU
2021-07-16,74.87,75.32,72.55,72.72,19132117.0,MU
2021-07-19,71.55,72.39,70.91,72.29,23436873.0,MU
2021-07-20,72.37,73.63,71.48,73.1,14855755.0,MU
2021-07-21,73.05,74.95,73.05,74.9,15945835.0,MU
2021-07-22,73.94,73.96,72.17,73.24,19042218.0,MU
2021-07-23,73.63,73.75,72.6,73.65,12345202.0,MU
2021-07-26,73.52,75.19,73.22,74.01,12023894.0,MU
2021-07-27,72.5,72.5,70.22,71.93,23940464.0,MU
2021-07-28,72.26,73.72,72.09,73.26,14348257.0,MU
2021-07-29,73.79,74.83,73.66,74.79,14529403.0,MU
2021-07-30,73.84,75.82,73.77,75.29,12528854.0,MU
2021-08-02,76.75,77.2,75.18,75.35,14904234.0,MU
2021-08-03,76.58,78.78,75.65,78.57,25807609.0,MU
2021-08-04,78.16,80.8,77.25,79.69,29176932.0,MU
2021-08-05,79.85,80.78,78.87,79.2,14820989.0,MU
2021-08-06,78.91,80.59,78.76,79.71,14612555.0,MU
2021-08-09,79.44,79.75,77.79,77.92,13363279.0,MU
2021-08-10,77.53,77.53,73.48,73.62,40705022.0,MU
2021-08-11,73.75,73.76,71.43,72.74,31624853.0,MU
2021-08-12,69.89,69.91,66.52,67.96,72528554.0,MU
2021-08-13,67.76,68.95,67.59,68.63,25301392.0,MU
2021-08-16,67.91,69.47,67.63,68.64,18143946.0,MU
2021-08-17,67.88,69.16,67.32,68.49,17545803.0,MU
2021-08-18,68.96,69.59,68.29,68.33,14004290.0,MU
2021-08-19,67.85,68.53,66.75,67.99,18022599.0,MU
2021-08-20,67.85,68.74,67.29,67.94,14603090.0,MU
2021-08-23,68.55,69.59,66.61,69.45,22264966.0,MU
2021-08-24,69.85,70.4,69.4,69.69,18092685.0,MU
2021-08-25,70.5,74.74,69.89,71.75,36552132.0,MU
2021-08-26,70.94,70.95,69.41,70.48,20315127.0,MU
2021-08-27,70.17,71.86,69.86,71.71,14994166.0,MU
2021-08-30,71.83,72.46,70.54,70.87,12810663.0,MU
2021-08-31,71.39,72.33,71.03,71.41,14807376.0,MU
2021-09-01,72.03,72.03,70.73,71.43,14007056.0,MU
2021-09-02,70.92,71.72,70.02,71.7,14817050.0,MU
2021-09-03,71.71,72.43,71.31,71.52,9225452.0,MU
2021-09-07,71.46,72.2,70.87,71.35,12031182.0,MU
2021-09-08,70.91,70.95,68.82,69.98,17375480.0,MU
2021-09-09,69.34,70.98,69.13,70.58,14638051.0,MU
2021-09-10,71.48,73.34,71.17,71.21,18240604.0,MU
2021-09-13,72.27,72.93,71.23,72.06,15796722.0,MU
2021-09-14,71.5,71.83,70.62,71.2,13945140.0,MU
2021-09-15,70.66,71.64,69.47,71.53,15258825.0,MU
2021-09-16,71.01,72.67,70.49,72.34,12867652.0,MU
2021-09-17,72.12,72.21,71.03,72.01,20449629.0,MU
2021-09-20,70.31,70.47,68.9,70.08,23228318.0,MU
2021-09-21,70.63,70.84,69.37,69.85,16026787.0,MU
2021-09-22,70.75,72.29,70.35,71.68,16996129.0,MU
2021-09-23,71.32,72.5,70.96,71.75,17304513.0,MU
2021-09-24,71.01,72.21,70.78,71.76,14804342.0,MU
2021-09-27,71.36,73.59,71.22,72.89,18435175.0,MU
2021-09-28,72.21,72.7,70.77,70.81,27311541.0,MU
2021-09-29,68.87,71.03,67.93,69.35,38169155.0,MU
2021-09-30,70.01,70.41,68.67,68.79,16923261.0,MU
2021-10-01,69.15,69.38,67.91,68.8,17813795.0,MU
2021-10-04,68.41,69.38,68.17,68.43,19525749.0,MU
2021-10-05,69.02,69.02,67.42,68.31,14512085.0,MU
2021-10-06,67.61,68.19,66.84,67.75,17899257.0,MU
2021-10-07,68.21,69.48,67.93,68.35,15236105.0,MU
2021-10-08,68.74,68.75,67.51,67.93,13666158.0,MU
2021-10-11,67.71,68.17,66.99,67.03,12700216.0,MU
2021-10-12,67.2,67.24,63.48,64.53,36911713.0,MU
2021-10-13,64.55,65.23,64.04,64.19,17532422.0,MU
2021-10-14,65.09,65.89,64.62,65.61,15541629.0,MU
