date,open,high,low,close,volume,symbol
2022-08-05,45.28,47.65,44.59,46.64,6047389.0,WDC
2022-08-08,46.32,48.23,46.13,47.13,5341967.0,WDC
2022-08-09,46.38,46.58,44.76,45.86,3616731.0,WDC
2022-08-10,46.97,47.89,46.67,47.23,2631530.0,WDC
2022-08-11,47.85,49.81,47.69,48.61,3604587.0,WDC
2022-08-12,48.89,50.5,48.69,50.22,2365716.0,WDC
2022-08-15,49.59,49.65,48.58,49.16,2335019.0,WDC
2022-08-16,48.77,49.39,48.63,48.79,1780350.0,WDC
2022-08-17,47.89,48.06,46.75,47.75,2402803.0,WDC
2022-08-18,47.86,48.78,47.55,48.27,1931615.0,WDC
2022-08-19,47.82,47.85,46.96,47.22,1828528.0,WDC
2022-08-22,46.11,46.25,45.47,45.61,4083507.0,WDC
2022-08-23,45.69,46.61,45.29,45.4,1947125.0,WDC
2022-08-24,44.98,46.28,44.93,45.76,2294453.0,WDC
2022-08-25,46.22,47.84,46.18,47.46,2513954.0,WDC
2022-08-26,47.42,47.46,45.04,45.04,2555207.0,WDC
2022-08-29,44.54,45.22,44.21,44.31,2148684.0,WDC
2022-08-30,44.22,44.25,42.68,42.91,4156756.0,WDC
2022-08-31,41.97,42.55,41.5,41.81,4296307.0,WDC
2022-09-01,40.34,41.72,39.93,41.54,7086198.0,WDC
2022-09-02,42.29,42.36,41.02,41.2,2851190.0,WDC
2022-09-06,41.03,41.43,40.07,40.52,3443653.0,WDC
2022-09-07,40.45,41.19,39.68,41.0,4086861.0,WDC
2022-09-08,40.72,42.02,40.19,41.96,4095929.0,WDC
2022-09-09,42.43,43.61,42.34,43.35,3525025.0,WDC
2022-09-12,43.64,44.04,42.64,42.82,4597429.0,WDC
2022-09-13,41.23,41.37,38.58,38.87,8297134.0,WDC
2022-09-14,38.87,39.08,37.3,37.88,5965384.0,WDC
2022-09-15,37.72,38.31,36.88,37.32,5113849.0,WDC
2022-09-16,36.62,37.17,35.87,36.77,7262967.0,WDC
2022-09-19,36.11,36.66,35.74,36.17,3909453.0,WDC
2022-09-20,35.45,35.63,34.49,35.09,5339895.0,WDC
2022-09-21,34.64,35.87,34.31,34.33,4321641.0,WDC
2022-09-22,34.11,34.35,33.08,33.37,4593115.0,WDC
2022-09-23,32.75,33.48,32.58,33.39,7479790.0,WDC
2022-09-26,32.98,33.33,31.9,31.95,4667051.0,WDC
2022-09-27,32.35,32.54,31.86,32.27,3828629.0,WDC
2022-09-28,32.27,33.07,32.09,32.7,3735274.0,WDC
2022-09-29,32.0,32.09,31.11,31.73,4544256.0,WDC
2022-09-30,31.67,33.51,31.67,32.1,6523621.0,WDC
2022-10-03,32.84,33.86,32.51,33.6,4149953.0,WDC
2022-10-04,34.53,36.05,34.49,36.01,10183155.0,WDC
2022-10-05,35.53,37.34,35.37,36.72,7048964.0,WDC
2022-10-06,36.47,36.9,34.76,36.61,9055846.0,WDC
2022-10-07,36.04,38.5,34.91,35.29,9719426.0,WDC
2022-10-10,35.13,35.53,33.94,34.21,3662836.0,WDC
